scaffold00565|nirS|15698_18832,44.7652
scaffold00962|nirS|6988_9251,0.241399
scaffold01325|nirS|8552_11476,0.330509
scaffold02397|nirS|712_2963,0.616049
scaffold04939|nirS|2218_5167,0.626916
scaffold06254|nirS|0_1380,0.228445
scaffold06902|nirS|447_2749,2.52823
scaffold07133|nirS|0_2153,0.195183
scaffold08226|nirS|0_1957,0.0214741
scaffold09472|nirS|0_1276,79.7735
scaffold09472|nirS|2102_3375,88.4977
scaffold09769|nirS|618_2899,2.55152
scaffold10524|nirS|0_1542,2.56218
scaffold113615|nirS|0_591,0.0711922
scaffold11742|nirS|0_2933,125.279
scaffold117570|nirS|0_577,127.469
scaffold117575|nirS|0_577,113.759
scaffold166232|nirS|0_456,0.415418
scaffold168708|nirS|0_451,15.6813
scaffold17480|nirS|0_1536,0.793549
scaffold17567|nirS|0_2258,14.088
scaffold177647|nirS|0_436,152.709
scaffold177772|nirS|0_436,152.178
scaffold212621|nirS|0_388,0
scaffold21937|nirS|0_1380,0.0761482
scaffold244562|nirS|0_353,25.1782
scaffold262073|nirS|0_338,27.7945
scaffold278603|nirS|0_324,0.0650207
scaffold31834|nirS|0_1481,3.00835
scaffold326367|nirS|0_292,158.198
scaffold333398|nirS|0_287,1.10149
scaffold403754|nirS|0_253,4.25034
scaffold42766|nirS|0_1195,0.0703574
scaffold44456|nirS|0_1162,3.50933
scaffold85250|nirS|0_724,0.639055
scaffold95930|nirS|0_666,0.568467
scaffold98743|nirS|0_652,4.64553
