scaffold00031|nirS|25414_27686,8.26773
scaffold00564|nirS|10455_11568,11.3703
scaffold00833|nirS|5364_8498,41.3758
scaffold00889|nirS|105_3526,13.0135
scaffold00889|nirS|4980_8097,13.4969
scaffold00892|nirS|4649_8087,15.4598
scaffold03029|nirS|0_1098,42.0259
scaffold03029|nirS|1924_3197,39.6609
scaffold04464|nirS|0_2408,5.81761
scaffold04684|nirS|298_2334,13.7388
scaffold04852|nirS|749_2279,8.68278
scaffold05889|nirS|0_1542,35.2401
scaffold07067|nirS|0_1505,12.5156
scaffold07780|nirS|0_1601,39.3538
scaffold08264|nirS|0_1526,20.2611
scaffold104200|nirS|0_273,1.80127
scaffold12129|nirS|0_1141,4.63051
scaffold127500|nirS|0_244,0.78048
scaffold12973|nirS|0_1085,14.6675
scaffold15798|nirS|0_934,6.97915
scaffold15811|nirS|0_933,8.64851
scaffold18942|nirS|0_819,14.4909
scaffold19412|nirS|0_805,6.72291
scaffold19908|nirS|0_790,29.0054
scaffold20633|nirS|0_769,52.2708
scaffold32009|nirS|0_566,1.79027
scaffold34431|nirS|0_539,29.7293
scaffold41960|nirS|0_474,1.2029
scaffold46700|nirS|0_443,5.82844
scaffold47727|nirS|0_436,39.3483
scaffold47879|nirS|0_436,45.4522
scaffold50373|nirS|0_422,2.51524
scaffold52448|nirS|0_412,5.11442
scaffold60988|nirS|0_376,8.21846
scaffold65335|nirS|0_360,1.32073
scaffold70287|nirS|0_345,2.98636
scaffold77763|nirS|0_325,6.92676
scaffold78200|nirS|0_323,1.76699
scaffold89768|nirS|0_297,25.5225
scaffold98177|nirS|0_282,2.08105
