scaffold00017|nirS|25450_27722,2.81014
scaffold00270|nirS|0_3136,0.929102
scaffold01657|nirS|3947_6948,1.09091
scaffold02362|nirS|3256_5543,9.30568
scaffold05347|nirS|0_1255,9.96958
scaffold05347|nirS|2081_3354,5.60893
scaffold09328|nirS|749_2279,0.256853
scaffold09405|nirS|0_1542,0.382279
scaffold10593|nirS|717_2068,0.19394
scaffold107855|nirS|0_404,0.974512
scaffold118678|nirS|0_382,0.687189
scaffold124639|nirS|0_372,0.352856
scaffold13612|nirS|0_1506,146.806
scaffold142746|nirS|0_344,16.8885
scaffold142858|nirS|0_344,0
scaffold143035|nirS|0_344,0
scaffold146842|nirS|0_339,7.06834
scaffold147776|nirS|0_337,21.039
scaffold153440|nirS|0_330,6.96327
scaffold153973|nirS|0_330,14.9213
scaffold162882|nirS|0_320,0
scaffold163835|nirS|0_319,0
scaffold170365|nirS|0_312,1.68372
scaffold173056|nirS|0_309,2.7627
scaffold205335|nirS|0_280,0.703814
scaffold205794|nirS|0_280,0.469209
scaffold227131|nirS|0_265,0.247935
scaffold246616|nirS|0_253,0
scaffold249917|nirS|0_252,0
scaffold25807|nirS|0_1064,1.32387
scaffold27382|nirS|0_1017,0.644239
scaffold33892|nirS|0_868,0.377478
scaffold38598|nirS|0_790,1.86658
scaffold40079|nirS|0_769,6.39206
scaffold60382|nirS|0_576,1.02451
scaffold61112|nirS|0_572,153.664
scaffold66968|nirS|0_539,0.729978
scaffold74836|nirS|0_502,0.522593
scaffold94325|nirS|0_436,3.08465
scaffold94408|nirS|0_436,2.63324
