scaffold00020|nirS|71853_74125,5.66527
scaffold00877|nirS|0_3136,26.8402
scaffold01702|nirS|2030_5565,3.28958
scaffold03997|nirS|0_1276,25.3305
scaffold03997|nirS|2102_3375,26.374
scaffold04169|nirS|0_1369,2.69627
scaffold05100|nirS|0_2907,9.41376
scaffold07513|nirS|749_2279,5.82987
scaffold07602|nirS|724_2264,18.8882
scaffold113439|nirS|0_378,1.01915
scaffold113799|nirS|0_378,2.41684
scaffold122423|nirS|0_361,0.975794
scaffold135955|nirS|0_338,1.62874
scaffold14093|nirS|219_1500,1.51801
scaffold149215|nirS|0_318,1.17742
scaffold16276|nirS|0_1362,2.39557
scaffold166246|nirS|0_297,16.0956
scaffold167741|nirS|0_295,0.933476
scaffold171217|nirS|0_292,2.03709
scaffold181050|nirS|0_281,1.64665
scaffold22906|nirS|0_1078,1.24353
scaffold23364|nirS|0_1064,22.3684
scaffold24789|nirS|0_1023,1.23526
scaffold30927|nirS|0_880,5.10793
scaffold32580|nirS|0_849,16.4665
scaffold36284|nirS|0_790,9.79504
scaffold50201|nirS|0_637,15.4481
scaffold65122|nirS|0_539,13.7119
scaffold71790|nirS|0_506,2.49987
scaffold76550|nirS|0_486,1.49387
scaffold77882|nirS|0_480,2.01678
scaffold81205|nirS|0_468,28.4902
scaffold88753|nirS|0_443,1.14247
scaffold90807|nirS|0_436,21.3497
scaffold90884|nirS|0_436,20.845
scaffold90921|nirS|0_436,2.49837
scaffold97383|nirS|0_418,18.9279
scaffold97975|nirS|0_416,1.79875
