scaffold00016|nirS|34575_36841,0.293701
scaffold00128|nirS|28180_31314,0.0758325
scaffold00207|nirS|11342_13623,1.39632
scaffold01059|nirS|5119_7400,3.49081
scaffold01373|nirS|490_2777,7.94023
scaffold01476|nirS|3717_5998,4.10561
scaffold02068|nirS|6206_7603,1.95717
scaffold02477|nirS|0_3700,0.147727
scaffold02762|nirS|0_1522,14.5736
scaffold05413|nirS|1708_4058,0.45514
scaffold06721|nirS|1645_3725,16.8217
scaffold07811|nirS|0_1275,0.969728
scaffold07811|nirS|2101_3375,1.97831
scaffold09102|nirS|30_3031,0.5702
scaffold10058|nirS|506_2790,0.437078
scaffold135243|nirS|0_436,0.109234
scaffold135432|nirS|0_436,0
scaffold16304|nirS|0_1989,1.76873
scaffold169021|nirS|0_383,0
scaffold184420|nirS|0_365,4.17729
scaffold193173|nirS|0_355,0.268456
scaffold201563|nirS|0_346,1.99708
scaffold238337|nirS|0_315,0
scaffold273586|nirS|0_292,0.0816437
scaffold279683|nirS|0_288,0.165563
scaffold347603|nirS|0_255,0
scaffold49916|nirS|0_820,0.406125
scaffold80593|nirS|0_595,0.519963
scaffold83961|nirS|0_581,0.573477
scaffold84767|nirS|0_577,0.247483
scaffold84774|nirS|0_577,0.164988
