scaffold00052|nirS|18373_20645,4.1717
scaffold00277|nirS|16646_19780,10.8727
scaffold02057|nirS|0_2199,12.6113
scaffold03216|nirS|0_1613,4.14226
scaffold04242|nirS|1065_3346,5.66819
scaffold05709|nirS|0_1276,11.4792
scaffold05709|nirS|2102_3375,10.9542
scaffold08066|nirS|0_2646,7.32667
scaffold09007|nirS|649_2457,5.8156
scaffold110540|nirS|0_456,9.558
scaffold118999|nirS|0_436,10.4506
scaffold119171|nirS|0_436,10.1674
scaffold11970|nirS|478_2012,4.12267
scaffold12159|nirS|453_1993,8.58143
scaffold12732|nirS|398_1925,6.23256
scaffold15136|nirS|0_1706,9.89919
scaffold161869|nirS|0_365,0.54153
scaffold162498|nirS|0_364,1.01817
scaffold185591|nirS|0_337,3.7766
scaffold187135|nirS|0_336,1.14004
scaffold197687|nirS|0_325,1.55899
scaffold199838|nirS|0_323,1.56867
scaffold234061|nirS|0_295,2.30472
scaffold238873|nirS|0_292,12.1505
scaffold241898|nirS|0_290,1.10836
scaffold257117|nirS|0_280,1.63381
scaffold258974|nirS|0_278,1.73456
scaffold261678|nirS|0_277,1.74084
scaffold264725|nirS|0_275,0.764367
scaffold272292|nirS|0_271,2.09893
scaffold30732|nirS|0_1032,1.56537
scaffold319613|nirS|0_248,2.99266
scaffold44595|nirS|0_801,2.43316
scaffold49015|nirS|0_753,5.04588
scaffold61401|nirS|0_651,1.5921
scaffold62502|nirS|0_644,1.45615
scaffold62867|nirS|0_641,1.53997
scaffold74008|nirS|0_580,8.70259
scaffold74023|nirS|0_580,2.17033
scaffold74476|nirS|0_578,3.52299
scaffold74677|nirS|0_577,9.28263
scaffold74680|nirS|0_577,9.5179
scaffold84696|nirS|0_535,4.29117
scaffold88994|nirS|0_519,1.33187
scaffold91822|nirS|0_509,1.69761
scaffold92960|nirS|0_506,2.14682
